Designator,Comments,Value,Footprint,Mid X,Mid Y,Rotation,Layer
ANT01,ANT_RF-SMA_ANT,ANT,RF-SMA,18.5,82.5,270,T
C01,CAP NP_C0603_NF,NF,C0603,16.5,75.5,90,T
C02,CAP NP_C0603_NF,NF,C0603,20.5,75.5,270,T
C03,CAP NP_C0603_0.1UF,0.1uF,C0603,45,68,90,T
C04,CAP NP_C0603_22PF,22pF,C0603,47,68,90,T
C05,CAP NP_C0603_22PF,22pF,C0603,51,68,90,T
C06,CAP NP_C0603_22PF,22pF,C0603,55,68,90,T
C07,CAP NP_C0603_33PF,33pF,C0603,8.5,67.5,180,T
C08,CAP NP_C0603_10PF,10pF,C0603,8.5,65.5,180,T
C09,CAP NP_C0603_2.2UF,2.2uF,C0603,8.5,63.5,180,T
C10,CAP POL_CAPE6X2R50_100UF/16V,100uF/16V,CAPE6X2R50,5,58.5,180,T
C11,CAP NP_C0603_0.1UF,0.1uF,C0603,79,54.5,270,T
C12,CAP NP_C0805_10UF/10V,10uF/10v,C0805,10,44.5,270,T
C13,CAP POL_CAPE6X2R50_100UF/16V,100uF/16V,CAPE6X2R50,5,44,180,T
C14,CAP NP_C0603_0.1UF,0.1uF,C0603,45.182,42.944,90,T
C15,CAP NP_C0603_33PF,33pF,C0603,47.182,42.944,90,T
C16,CAP NP_C0603_33PF,33pF,C0603,54.182,42.944,90,T
C17,CAP NP_C0603_22PF,22pF,C0603,56.182,42.944,90,T
C18,CAP NP_C0603_22PF,22pF,C0603,61.182,42.944,90,T
C19,CAP NP_C0603_10PF,10pF,C0603,8.5,39.5,180,T
C20,CAP NP_C0603_2.2UF/16V,2.2uF/16V,C0603,24.5,38,270,T
C21,CAP NP_C0603_10PF,10pF,C0603,4,37.5,180,T
C22,CAP NP_C0603_150PF,150pF,C0603,8.5,37.5,180,T
C23,CAP NP_C0603_0.1UF,0.1uF,C0603,40.936,35.198,270,T
C24,CAP NP_C0603_0.1UF,0.1uF,C0603,42.936,35.198,270,T
C25,CAP NP_C0603_4.7UF,4.7uF,C0603,44.936,35.198,270,T
C26,CAP NP_C0603_10NF,10nF,C0603,48.936,35.198,90,T
C27,CAP NP_C0603_1UF,1uF,C0603,50.936,35.198,90,T
C28,CAP NP_C0603_0.1UF,0.1uF,C0603,16,30,270,T
C29,CAP NP_C0603_2.2UF/16V,2.2uF/16V,C0603,25.5,29.5,0,T
C30,CAP NP_C0603_22NF,22nF,C0603,25.5,27.5,0,T
C31,CAP POL_CAPE6X2R50_47UF/50V,47uF/50V,CAPE6X2R50,4,26.5,180,T
C32,CAP NP_C0805_2.2UF/50V,2.2uF/50V,C0805,4,21.5,0,T
C33,CAP NP_C0805_2.2UF/50V,2.2uF/50V,C0805,4,16.5,180,T
C34,CAP NP_C0603_0.1UF,0.1uF,C0603,75.5,14.5,0,T
D01,LED_LED0603_RED,RED,LED0603,27,75.5,270,T
D02,LED_LED0603_GREEN,GREEN,LED0603,37,75.5,270,T
D03,DIODE BI-DIR_R0603_PGB1010603NR,PGB1010603NR,R0603,22.5,75.5,90,T
D04,DIODE ZENER_SOD-123_MM1Z5V1,MM1Z5V1,SOD-123,8.5,69.5,180,T
D05,LED_LED0603_RED,RED,LED0603,70,42.5,270,T
D06,DIODE SCHOTTKY_SMA_SS14,SS14,SMA,19,30,270,T
D07,LED_LED-3MM_RED,RED,LED-3MM,18.296,19.436,90,T
D08,LED_LED-3MM_GREEN,GREEN,LED-3MM,25.296,19.436,90,T
D09,LED_LED-3MM_GREEN,GREEN,LED-3MM,32.296,19.436,90,T
D10,LED_LED-3MM_GREEN,GREEN,LED-3MM,39.296,19.436,90,T
D11,DIODE SCHOTTKY_SMA_SS14,SS14,SMA,9.5,19,270,T
D12,DIODE SCHOTTKY_SMA_SS14,SS14,SMA,13,19,270,T
D13,TVS_BD_SOT23-3_PSM712,PSM712,SOT23-3,58.5,18,270,T
D14,DIODE TVS_SMA_SMAJ36CA,SMAJ36CA,SMA,49.5,15.5,90,T
D15,DIODE_SOD-323_1N4148WS,1N4148WS,SOD-323,41,13.5,90,T
DN01,DTVSARR_CA_5/SOT23_SOT23-6_ESDA,ESDA6V1-5SC6,SOT23-6,51.5,75.5,270,T
J01,SIM_SIM-MICRO_SIM-002-T6,SIM-002-T6,SIM-MICRO,70,78.5,180,T
J02,CONN PCB 8_CON5MM-8P_CONN PCB 8,CONN PCB 8,CON5MM-8P,39,4,0,T
J03,CONN PCB 2_XH-2A_CONN PCB 2,CONN PCB 2,XH-2A,17,4.5,180,T
J04,CONN PCB 4_XH-4A_SWD,SWD,XH-4A,73,4.5,180,T
L01,INDUCTOR_INDC-SLF6028_SLO0630H1,SLO0630H150MTT,INDC-SLF6028,19,38.5,90,T
L02,INDUCTOR_R0603_CBG160808U600T,CBG160808U600T,R0603,46.936,35.198,270,T
LS01,BUZZER_BZ09B_QMB-09B-03,QMB-09B-03,BZ09B,84,29,270,T
Q01,NMOS_SOT23-3_2N7002,2N7002,SOT23-3,32,75.5,90,T
Q02,NMOS_SOT23-3_2N7002,2N7002,SOT23-3,42,75.5,90,T
Q03,PMOS_SOT23-3_AO3401,AO3401,SOT23-3,5,51,270,T
Q04,NMOS_SOT23-3_2N7002,2N7002,SOT23-3,11,51,270,T
Q05,NPN_SOT23-3_NPN,NPN,SOT23-3,19.5,48.5,270,T
Q06,NPN_SOT23-3_NPN,NPN,SOT23-3,26,48.5,90,T
Q07,NMOS_SOT23-3_2N7002,2N7002,SOT23-3,33.936,35.198,270,T
Q08,NMOS_SOT23-3_2N7002,2N7002,SOT23-3,83.5,22,0,T
Q09,NMOS_SOT23-3_2N7002,2N7002,SOT23-3,4.5,12,90,T
Q10,PMOS_SOT23-3_AO3401A,AO3401A,SOT23-3,13.5,12,270,T
R01,RES_R0603_0R,0R,R0603,18.5,75.5,90,T
R02,RES_R0603_1K,1K,R0603,29,75.5,270,T
R03,RES_R0603_1K,1K,R0603,35,75.5,90,T
R04,RES_R0603_1K,1K,R0603,39,75.5,270,T
R05,RES_R0603_1K,1K,R0603,45,75.5,90,T
R06,RES_R0603_51R,51R,R0603,49,68,90,T
R07,RES_R0603_51R,51R,R0603,53,68,90,T
R08,RES_R0603_51R,51R,R0603,57,68,90,T
R09,RES_R0603_10K,10K,R0603,77,54.5,270,T
R10,RES_R0603_10K,10K,R0603,81,54.5,270,T
R11,RES_R0603_1K,1K,R0603,8,51,270,T
R12,RES_R0603_10K,10K,R0603,15.5,48.5,90,T
R13,RES_R0603_10K,10K,R0603,17,48.5,270,T
R14,RES_R0603_1K,1K,R0603,22,48.5,90,T
R15,RES_R0603_1K,1K,R0603,23.5,48.5,90,T
R16,RES_R0603_10K,10K,R0603,28.5,48.5,90,T
R17,RES_R0603_100R,100R,R0603,30,48.5,270,T
R18,RES_R0603_NF,NF,R0603,31.5,48.5,270,T
R19,RES_R0603_NF,NF,R0603,33,48.5,270,T
R20,RES_R0603_100R,100R,R0603,34.5,48.5,270,T
R21,RES_R0603_1K,1K,R0603,72,42.5,90,T
R22,RES_R0603_10K,10K,R0603,74,42.5,90,T
R23,RES_R0603_1K,1K,R0603,76,42.5,270,T
R24,RES_R0603_1K,1K,R0603,78,42.5,270,T
R25,RES_R0603_1K,1K,R0603,80,42.5,270,T
R26,RES_R0603_1K,1K,R0603,82,42.5,270,T
R27,RES_R0603_10K,10K,R0603,26.5,38,90,T
R28,RES_R0603_100K,100K,R0603,4,35.5,0,T
R29,RES_R0603_100K,100K,R0603,8.5,35.5,180,T
R30,RES_R0603_1K,1K,R0603,36.936,35.198,90,T
R31,RES_R0603_10K,10K,R0603,38.936,35.198,90,T
R32,RES_R0603_100K,100K,R0603,4,33.5,0,T
R33,RESISTOR_R0603_24K,24K,R0603,4,31.5,0,T
R34,RES_R0603_200K,200K,R0603,9.5,24.5,0,T
R35,RES_R0603_30K,30K,R0603,44,24,90,T
R36,RES_R0603_1K,1K,R0603,46.5,24,270,T
R37,RES_R0603_1K,1K,R0603,18.5,23,180,T
R38,RES_R0603_1K,1K,R0603,25.5,23,180,T
R39,RES_R0603_1K,1K,R0603,32.5,23,180,T
R40,RES_R0603_1K,1K,R0603,39.5,23,180,T
R41,RES_R0603_1K,1K,R0603,75.5,20.5,180,T
R42,RES_R0603_4.7K,4.7K,R0603,64.008,20.066,180,T
R43,RES_R0805_2R,2R,R0805,4,19,180,T
R44,RES_R0603_1K,1K,R0603,75.5,18.5,180,T
R45,RES_R0603_10K,10K,R0603,83.5,18.5,0,T
R46,RES_R0603_1K,1K,R0603,75.5,16.5,180,T
R47,RES_R0603_1K,1K,R0603,83.5,16.5,180,T
R48,RES_R2010_22R,22R,R2010,53,15.5,270,T
R49,RES_R2010_22R,22R,R2010,64,15.5,270,T
R50,RES_R0603_100R,100R,R0603,83.5,14.5,180,T
R51,RES_R0603_100K,100K,R0603,33,13.5,270,T
R52,RES_R0603_1K,1K,R0603,35,13.5,90,T
R53,RES_R0603_10K,10K,R0603,37,13.5,90,T
R54,RES_R0603_20K,20K,R0603,39,13.5,90,T
R55,RES_R2010_120R,120R,R2010,58.5,13.5,0,T
R56,RES_R0603_4.7K,4.7K,R0603,75.5,12.5,0,T
R57,RES_R0603_100R,100R,R0603,83.5,12.5,180,T
R58,RES_R0603_10K,10K,R0603,8,12,90,T
R59,RES_R0603_1K,1K,R0603,10,12,90,T
R60,RES_R0603_100K,100K,R0603,16.5,12,270,T
R61,RES_R0603_33K,33K,R0603,18.5,12,90,T
R62,RES_R0603_1K,1K,R0603,20.5,12,90,T
SW01,SW-PB-2_SW-3X6_SW-PB-2,SW-PB-2,SW-3X6,39,43,180,T
TP01,TP_TP1_TP,TP,TP1,10,72,0,T
TP02,TP_TP1_TP,TP,TP1,77,57.5,0,T
TP03,TP_TP1_TP,TP,TP1,26.5,41,0,T
TP04,TP_TP1_TP,TP,TP1,16.5,14.5,0,T
TP05,TP_TP1_TP,TP,TP1,29,14,0,T
U01,SIM800C_P0V0_SIM800C_P0V0_SIM80,SIM800C_P0V0,SIM800C_P0V0,49,49,180,T
U02,SIM800C_SIM800C_SIM800C,SIM800C,SIM800C,23.5,61.5,90,T
U03,W25Q16_SOIC-8_P25Q40,P25Q40,SOIC-8,79,48.5,90,T
U04,RT9193_SOT23-5_RT9193-33GB,RT9193-33GB,SOT23-5,25.5,33.5,0,T
U05,STM32F030C8_LQFP-48_(S1+S2)_STM,STM32F030C8,LQFP-48,65,33,225,T
U06,MP2560_SOIC-8P_MP2560,MP2560,SOIC-8P,11.5,30,180,T
U07,SP485_SOIC-8_SP3485,SP3485,SOIC-8,69.5,16.5,180,T
U08,EL354_SOP-4_EL354,EL354,SOP-4,45,16.5,90,T
Y01,CRYSTAL-1_SMD3225-4_12MHZ,12MHz,SMD3225-4,50.682,42.944,0,T
Y02,CRYSTAL_SMD3215_32.768K,32.768K,SMD3215,58.682,42.944,90,T
